message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,"verified business, existing relationship, payment",0.9,message_0102
msg_091,notify,event,event,0.55,message_0238
msg_090,notify,personal,personal,0.55,message_0338
msg_048,notify,urgent,"society group, urgent",0.75,message_0129
msg_040,mute,forward,"family group, forward",0.75,message_0136
msg_075,digest,unknown,"verified business, existing relationship, unknown",0.75,message_0206
msg_005,digest,event,"marketplace group, event",0.6,message_0231
msg_104,notify,personal,personal,0.55,message_0232
msg_069,mute,forward,"family group, forward",0.75,message_0177
msg_107,mute,scam,scam,0.7,message_0213
msg_070,mute,scam,"marketplace group, scam",0.75,message_0213
msg_003,notify,business_update,"verified business, existing relationship, business update",0.75,message_0268
msg_099,notify,event,event,0.55,message_0006
msg_008,digest,unknown,"verified business, existing relationship, unknown",0.75,message_0297
msg_092,notify,payment,"verified business, payment",0.8,message_0346
msg_060,digest,promotion,"college_faculty group, promotion",0.6,message_0404
msg_004,digest,event,"verified business, existing relationship, event",0.75,message_0394
msg_030,digest,unknown,Muted group,0.6,message_0050
msg_045,digest,unknown,"society group, unknown",0.6,message_0268
msg_052,digest,event,event,0.65,message_0159
msg_009,digest,unknown,Muted group,0.6,message_0073
msg_071,digest,unknown,"extended_family group, unknown",0.6,none
msg_016,digest,unknown,"marketplace group, unknown",0.6,message_0024
msg_065,digest,promotion,"verified business, existing relationship, promotion",0.75,message_0073
msg_038,mute,forward,"dance_class group, forward",0.75,message_0341
msg_086,digest,unknown,"verified business, existing relationship, unknown",0.75,none
msg_014,digest,unknown,"verified business, existing relationship, unknown",0.75,message_0258
msg_094,digest,promotion,"verified business, promotion",0.65,message_0223
msg_029,mute,forward,"marketplace group, forward",0.75,message_0049
msg_105,mute,forward,forward,0.7,message_0373
msg_002,digest,event,"coworker group, event",0.6,message_0003
msg_010,digest,unknown,"verified business, existing relationship, unknown",0.75,message_0011
msg_078,mute,forward,"marketplace group, forward",0.75,message_0220
msg_013,digest,payment,"college_faculty group, payment",0.75,none
msg_018,mute,forward,"marketplace group, forward",0.75,message_0026
msg_044,mute,scam,"marketplace group, scam",0.75,message_0222
msg_032,digest,unknown,"college_students group, unknown",0.6,message_0175
msg_106,notify,event,event,0.55,message_0293
msg_006,digest,event,"society group, event",0.6,message_0029
msg_109,digest,unknown,"society group, unknown",0.6,message_0029
msg_108,digest,event,event,0.65,message_0094
msg_019,digest,unknown,unknown,0.65,message_0275
msg_088,digest,unknown,Muted group,0.6,none
msg_056,digest,event,Muted group,0.6,message_0028
msg_027,digest,unknown,"verified business, existing relationship, unknown",0.75,message_0021
msg_050,digest,event,"existing relationship, event",0.75,message_0155
msg_083,digest,unknown,"coworker group, unknown",0.6,none
msg_063,digest,urgent,"local_food group, urgent",0.75,message_0365
msg_033,notify,urgent,"family group, urgent",0.75,none
msg_061,mute,forward,"family group, forward",0.75,message_0080
msg_020,digest,urgent,"marketplace group, urgent",0.75,none
msg_017,digest,event,Muted group,0.6,none
msg_058,mute,forward,"family group, forward",0.75,message_0241
msg_026,digest,business_update,business update,0.65,message_0107
msg_047,digest,event,"society group, event",0.6,message_0129
msg_046,mute,scam,"extended_family group, scam",0.75,message_0407
msg_042,digest,unknown,"society group, unknown",0.6,message_0028
msg_079,mute,scam,"marketplace group, scam",0.75,message_0369
msg_098,notify,event,event,0.55,message_0028
msg_037,digest,unknown,"society group, unknown",0.6,none
msg_007,digest,unknown,"society group, unknown",0.6,message_0275
msg_085,digest,unknown,unknown,0.65,none
msg_001,digest,unknown,"society group, unknown",0.6,message_0028
msg_021,notify,payment,"society group, payment",0.75,message_0029
msg_028,notify,payment,"verified business, existing relationship, payment",0.9,message_0258
msg_012,mute,forward,"dance_class group, forward",0.75,message_0194
msg_064,digest,unknown,"marketplace group, unknown",0.6,message_0201
msg_103,notify,personal,personal,0.55,message_0231
msg_031,digest,event,"coworker group, event",0.6,message_0222
msg_057,digest,unknown,"coworker group, unknown",0.6,message_0003
msg_087,digest,unknown,Muted group,0.6,none
msg_067,notify,payment,"society group, payment",0.75,message_0029
msg_039,digest,payment,"school_group group, payment",0.75,message_0365
msg_082,digest,unknown,"coworker group, unknown",0.6,none
msg_066,notify,payment,"verified business, existing relationship, payment",0.9,message_0258
msg_049,digest,event,"verified business, existing relationship, event",0.75,message_0291
msg_015,mute,scam,"marketplace group, scam",0.75,message_0221
msg_051,notify,payment,"verified business, existing relationship, payment",0.9,message_0258
msg_097,notify,urgent,urgent,0.7,message_0359
msg_089,notify,event,event,0.55,message_0299
msg_053,mute,forward,"investment_tips group, forward",0.75,message_0253
msg_059,digest,event,"marketplace group, event",0.6,message_0263
msg_024,notify,payment,"verified business, existing relationship, payment",0.9,message_0258
msg_072,mute,scam,"marketplace group, scam",0.75,message_0213
msg_036,digest,unknown,unknown,0.65,message_0127
msg_076,digest,event,event,0.65,message_0159
msg_055,digest,urgent,"extended_family group, urgent",0.75,message_0166
msg_102,notify,personal,personal,0.55,message_0268
msg_080,digest,unknown,"society group, unknown",0.6,message_0216
msg_093,mute,scam,"verified business, scam",0.8,message_0166
msg_034,mute,forward,"family group, forward",0.75,message_0123
msg_035,digest,unknown,"verified business, existing relationship, unknown",0.75,message_0127
msg_101,notify,personal,personal,0.55,message_0268
msg_041,digest,event,"verified business, event",0.65,message_0028
msg_011,mute,forward,"family group, forward",0.75,message_0123
msg_110,mute,scam,scam,0.7,message_0380
msg_095,notify,payment,payment,0.7,message_0201
msg_074,mute,forward,"real_estate group, forward",0.75,message_0223
msg_073,mute,forward,"marketplace group, forward",0.75,message_0147
msg_054,digest,event,"local_food group, event",0.6,message_0220
msg_068,digest,unknown,"book_club group, unknown",0.6,message_0191
msg_100,notify,payment,payment,0.7,message_0055
msg_062,mute,forward,"society group, forward",0.75,message_0129
msg_096,notify,personal,personal,0.55,none
msg_043,mute,forward,"society group, forward",0.75,message_0129
msg_077,digest,event,"school_group group, event",0.6,message_0365
msg_081,digest,unknown,"school_group group, unknown",0.6,none
msg_025,notify,business_update,"verified business, existing relationship, business update",0.75,message_0028
msg_084,digest,unknown,"verified business, existing relationship, unknown",0.75,none
msg_022,notify,payment,"society group, payment",0.75,message_0029
